id,sender_name,sender_account,receiver_name,receiver_account,amount,utr,timestamp,transaction_type,pattern
TX-78B6292C,Deepak Ahmed,4402-2851-8076,Mahesh Yadav,4605-4740-4331,4200.0,UTR2026196923624103,2026-01-18T16:04:00,IMPS,NORMAL
TX-8FB703E1,Manoj Ansari,2930-2378-5463,Usha Chauhan,7015-1579-7658,4200.0,UTR2026443731882140,2026-02-11T23:21:00,UPI,NORMAL
TX-22912BB2,Deepak Gupta,1450-3081-7127,Alok Kujur,9124-9207-4103,350000.0,UTR2026621205641390,2026-02-14T03:19:00,UPI,NORMAL
TX-66393451,Bittu Shankar,4664-8652-1413,Chhotu Shankar,6929-2952-1856,48155.0,UTR2026334553733535,2026-03-17T06:36:00,NEFT,STRUCTURING
TX-29D7C070,Usha Chauhan,7015-1579-7658,Usha Kumar,8079-7490-9357,25000.0,UTR2026403787383927,2026-02-05T21:49:00,NEFT,NORMAL
TX-D94A49BD,Vikas Munda,1067-8821-6554,Subhash Mahto,8938-2163-8774,85000.0,UTR2026596130477055,2026-01-27T23:40:00,NEFT,NORMAL
TX-7094DC21,Manju Gupta,8193-5475-7963,Ramesh Shankar,9043-5818-3803,350000.0,UTR2026316756047160,2026-02-09T23:04:00,NEFT,NORMAL
TX-F9E8B4EE,Rajesh Yadav,3807-5688-7348,Neeraj Mahto,3098-4494-9907,350000.0,UTR2026945857633960,2026-02-04T21:08:00,IMPS,NORMAL
TX-518994A9,Ramesh Shankar,9043-5818-3803,Chhotu Shankar,6929-2952-1856,150000.0,UTR2026116295531454,2026-02-27T20:16:00,RTGS,NORMAL
TX-86BC003C,Rajesh Yadav,3807-5688-7348,Dinesh Gupta,6125-2973-8578,25000.0,UTR2026439988845909,2026-02-05T18:33:00,NEFT,NORMAL
TX-936B6414,Subhash Mahto,8938-2163-8774,Seema Patel,5999-1734-4998,4200.0,UTR2026971367858483,2026-02-14T01:05:00,NEFT,NORMAL
TX-6B89F38C,Kavita Mishra,2158-2272-5797,Pushpa Yadav,6478-4352-5262,150000.0,UTR2026411275916517,2026-03-20T21:51:00,RTGS,NORMAL
TX-7A3E9949,Munna Sinha,2564-7599-2789,Dharmendra Sharma,7255-6798-2307,48131.0,UTR2026618189812050,2026-02-20T18:54:00,UPI,STRUCTURING
TX-9320969B,Usha Chauhan,7015-1579-7658,Bittu Shankar,9480-9188-7678,4200.0,UTR2026429464650477,2026-01-05T04:46:00,NEFT,NORMAL
TX-0913207C,Santosh Munda,3511-5530-5365,Ajay Sinha,9346-3093-3738,45640.0,UTR2026885486017908,2026-03-29T02:50:00,IMPS,STRUCTURING
TX-6C40C1DD,Bittu Oram,1288-9662-3183,Santosh Munda,3511-5530-5365,47779.0,UTR2026773222367315,2026-03-11T19:22:00,UPI,STRUCTURING
TX-2621B194,Vijay Oram,5106-2913-9359,Deepak Gupta,1450-3081-7127,1500.0,UTR2026954018203587,2026-02-16T18:34:00,IMPS,NORMAL
TX-924C04BC,Satish Shankar,9155-2448-2841,Ajay Tiwari,2670-6813-8996,1500.0,UTR2026661052730357,2026-02-11T21:05:00,NEFT,NORMAL
TX-D6F2F882,Santosh Tiwari,4822-4785-3346,Vijay Patel,3535-1442-5818,45296.0,UTR2026524444305486,2026-02-27T17:19:00,RTGS,STRUCTURING
TX-4944EE76,Bittu Shankar,9480-9188-7678,Rahul Tiwari,9184-9585-3866,4200.0,UTR2026672379151139,2026-01-22T19:54:00,NEFT,NORMAL
TX-4ED655C5,Santosh Tiwari,4822-4785-3346,Manoj Ansari,2930-2378-5463,150000.0,UTR2026137815061024,2026-02-13T20:39:00,NEFT,NORMAL
TX-E2E125DD,Rajesh Yadav,3807-5688-7348,Neeraj Kumar,2154-3566-9031,12000.0,UTR2026477923563329,2026-01-27T16:50:00,UPI,NORMAL
TX-8740AD9B,Manoj Prasad,4536-5749-5906,Chhotu Shankar,6929-2952-1856,46041.0,UTR2026458069984023,2026-01-20T04:28:00,NEFT,STRUCTURING
TX-6AC4DBC7,Rahul Tiwari,9184-9585-3866,Guddu Gupta,7834-9837-5000,4200.0,UTR2026436162051133,2026-02-03T20:31:00,RTGS,NORMAL
TX-1C9C360E,Satish Verma,6660-7578-1997,Vijay Mishra,1639-3691-2085,47617.0,UTR2026908270843770,2026-02-17T01:40:00,NEFT,STRUCTURING
TX-2AC297A1,Vijay Mishra,1639-3691-2085,Ravi Verma,1012-2826-4392,1500.0,UTR2026791881487741,2026-01-26T03:26:00,NEFT,NORMAL
TX-EE708982,Usha Tiwari,4247-8606-9380,Subhash Shankar,1579-4440-4546,150000.0,UTR2026554889291947,2026-02-01T23:23:00,UPI,NORMAL
TX-1E586EE1,Vikas Munda,1067-8821-6554,Priya Mahto,7622-4557-5861,25000.0,UTR2026227799309293,2026-01-07T21:46:00,NEFT,NORMAL
TX-BE958039,Deepak Gupta,1450-3081-7127,Manju Gupta,8193-5475-7963,12000.0,UTR2026991452674391,2026-02-01T01:51:00,NEFT,NORMAL
TX-6BA31E27,Ashok Rizwan,5077-8057-3800,Deepak Gupta,1450-3081-7127,4200.0,UTR2026618566875232,2026-02-28T16:46:00,NEFT,NORMAL
TX-9AF60D3A,Bittu Shankar,4664-8652-1413,Ashok Sinha,1566-7999-5238,1500.0,UTR2026613018230773,2026-03-10T22:10:00,NEFT,NORMAL
TX-88D0FAC6,Chandan Mishra,5424-4709-4857,Ajay Dubey,3593-2387-5694,12000.0,UTR2026560534274995,2026-02-11T18:31:00,UPI,NORMAL
TX-24270680,Ashok Mahto,8428-1176-7767,Subhash Paswan,9554-7185-4354,12000.0,UTR2026273902346504,2026-03-31T03:06:00,IMPS,NORMAL
TX-30BAFD58,Neeraj Mahto,3098-4494-9907,Mahesh Yadav,4605-4740-4331,4200.0,UTR2026456325655360,2026-01-22T21:06:00,NEFT,NORMAL
TX-153BA2BC,Munna Sinha,2564-7599-2789,Santosh Munda,3511-5530-5365,47772.0,UTR2026975059998598,2026-03-03T22:28:00,RTGS,STRUCTURING
TX-FE9B5635,Ramesh Sinha,4185-1410-3370,Deepak Ahmed,4402-2851-8076,85000.0,UTR2026675902799627,2026-03-29T06:45:00,RTGS,NORMAL
TX-06FBDBCF,Ravi Verma,1012-2826-4392,Rajesh Ansari,6527-5681-5308,85000.0,UTR2026755359469015,2026-01-30T05:10:00,UPI,NORMAL
TX-02680FC4,Usha Kumar,8079-7490-9357,Deepak Gupta,1450-3081-7127,1500.0,UTR2026646932523312,2026-01-29T17:28:00,UPI,NORMAL
TX-22DB7130,Rahul Mishra,9163-9461-3350,Santosh Tiwari,4822-4785-3346,85000.0,UTR2026525077044035,2026-02-19T06:30:00,RTGS,NORMAL
TX-31F0C4CC,Ashok Mahto,8428-1176-7767,Usha Kumar,8079-7490-9357,85000.0,UTR2026737820941930,2026-01-31T23:27:00,UPI,NORMAL
TX-79F28F0D,Ashok Thakur,2945-3816-5474,Ajay Singh,3725-8626-2468,150000.0,UTR2026306696910826,2026-01-08T19:58:00,IMPS,NORMAL
TX-C65D2B0F,Vikas Munda,1067-8821-6554,Rajesh Ansari,6527-5681-5308,150000.0,UTR2026840606315727,2026-02-18T16:11:00,NEFT,NORMAL
TX-77B9897D,Subhash Shankar,1579-4440-4546,Rahul Tiwari,9184-9585-3866,25000.0,UTR2026413495361948,2026-02-05T17:21:00,IMPS,NORMAL
TX-6FEB9559,Deepak Gupta,1450-3081-7127,Pankaj Shankar,2078-4720-7143,4200.0,UTR2026931794557197,2026-02-28T20:48:00,NEFT,NORMAL
TX-29FA2238,Manoj Prasad,4536-5749-5906,Rahul Mishra,9163-9461-3350,4200.0,UTR2026380483694079,2026-01-03T05:50:00,IMPS,NORMAL
TX-1161B21B,Pushpa Yadav,6478-4352-5262,Usha Tiwari,4247-8606-9380,45987.0,UTR2026332937395105,2026-03-07T05:52:00,UPI,STRUCTURING
TX-EFED06F9,Deepak Gupta,1450-3081-7127,Kailash Patel,5397-9543-6299,1500.0,UTR2026918909025870,2026-02-10T20:00:00,RTGS,NORMAL
TX-6C3C8C5E,Rajesh Ansari,6527-5681-5308,Chhotu Shankar,6929-2952-1856,4200.0,UTR2026630445349421,2026-01-14T22:42:00,UPI,NORMAL
TX-BBEEA057,Ashok Thakur,2945-3816-5474,Ashok Sinha,1566-7999-5238,12000.0,UTR2026812174142574,2026-02-04T03:42:00,UPI,NORMAL
TX-1636569F,Ajay Singh,3725-8626-2468,Mukesh Ansari,3495-5193-3299,25000.0,UTR2026853751793514,2026-02-14T17:51:00,NEFT,NORMAL
TX-EB3F0B00,Ajay Sinha,9346-3093-3738,Anand Kumar,9728-8233-7714,150000.0,UTR2026581514675933,2026-03-28T22:20:00,RTGS,NORMAL
TX-8CDD3A0C,Priya Mahto,7622-4557-5861,Chandan Mishra,5424-4709-4857,350000.0,UTR2026165023581634,2026-01-06T16:05:00,NEFT,NORMAL
TX-E9824126,Rahul Mishra,9163-9461-3350,Bittu Oram,1288-9662-3183,25000.0,UTR2026570971228331,2026-01-27T22:28:00,IMPS,NORMAL
TX-315A5197,Manoj Prasad,4536-5749-5906,Suresh Verma,3931-4621-8957,25000.0,UTR2026318028473983,2026-03-18T02:30:00,UPI,NORMAL
TX-5F700CB7,Manoj Prasad,4536-5749-5906,Ashok Mahto,8428-1176-7767,350000.0,UTR2026407835196978,2026-01-14T01:32:00,UPI,NORMAL
TX-67716F79,Ramesh Paswan,8285-6224-2574,Vijay Mishra,1639-3691-2085,150000.0,UTR2026614647221920,2026-03-03T01:44:00,RTGS,NORMAL
TX-B1DF11C2,Suresh Verma,3931-4621-8957,Rajesh Tiwari,2433-7952-3372,46115.0,UTR2026785656277607,2026-02-08T21:47:00,UPI,STRUCTURING
TX-5C192268,Dinesh Gupta,6125-2973-8578,Ramesh Verma,8651-2445-4668,350000.0,UTR2026915389610385,2026-03-12T20:41:00,UPI,NORMAL
TX-AB96BDE1,Priya Mahto,7622-4557-5861,Ramesh Patel,7109-8020-1696,350000.0,UTR2026142819662207,2026-03-19T21:22:00,RTGS,NORMAL
TX-26E63ABE,Devendra Ahmed,7482-1755-5736,Vijay Mishra,1639-3691-2085,25000.0,UTR2026267316461062,2026-02-02T20:00:00,RTGS,NORMAL
TX-4D1CD2DA,Manoj Ansari,2930-2378-5463,Pushpa Yadav,6478-4352-5262,1500.0,UTR2026445413873102,2026-03-03T22:15:00,NEFT,NORMAL
TX-4CDAE111,Anand Kumar,9728-8233-7714,Chhotu Shankar,6929-2952-1856,1500.0,UTR2026969851704314,2026-02-07T23:03:00,IMPS,NORMAL
TX-7F7AAD49,Deepak Ahmed,4402-2851-8076,Neeraj Mahto,3098-4494-9907,25000.0,UTR2026941635279161,2026-02-13T16:16:00,IMPS,NORMAL
TX-348CEC75,Mohammad Kumar,3194-2131-1813,Mukesh Verma,7478-6218-6252,150000.0,UTR2026414307146179,2026-01-18T22:44:00,NEFT,NORMAL
TX-2A2A95EC,Chhotu Shankar,6929-2952-1856,Usha Kumar,8079-7490-9357,1500.0,UTR2026901033963508,2026-02-28T00:56:00,IMPS,NORMAL
TX-FE7A6CC3,Seema Patel,5999-1734-4998,Ashok Rizwan,5077-8057-3800,85000.0,UTR2026828198305913,2026-03-29T05:08:00,RTGS,NORMAL
TX-65E64CC4,Dharmendra Sharma,7255-6798-2307,Chandan Mishra,5424-4709-4857,150000.0,UTR2026381873971519,2026-02-14T06:01:00,NEFT,NORMAL
TX-3B40A85D,Dharmendra Sharma,7255-6798-2307,Satish Verma,6660-7578-1997,48591.0,UTR2026315912566381,2026-02-25T05:02:00,RTGS,STRUCTURING
TX-480ABF82,Subhash Paswan,9554-7185-4354,Ramesh Patel,7109-8020-1696,25000.0,UTR2026312791974823,2026-01-21T04:05:00,RTGS,NORMAL
TX-BEF24576,Rahul Mishra,9163-9461-3350,Kavita Mishra,2158-2272-5797,45823.0,UTR2026121099233785,2026-02-25T18:04:00,RTGS,STRUCTURING
TX-4DF63CA9,Ashok Sinha,1566-7999-5238,Chhotu Shankar,6929-2952-1856,12000.0,UTR2026596125434823,2026-01-24T20:30:00,RTGS,NORMAL
TX-B5D55DA6,Chandan Gope,3142-4027-3866,Pooja Pandey,2967-9887-9534,1500.0,UTR2026639494706053,2026-01-25T05:44:00,IMPS,NORMAL
TX-C25F11CC,Ajay Sinha,9346-3093-3738,Usha Kumar,8079-7490-9357,85000.0,UTR2026860364630756,2026-03-04T00:05:00,UPI,NORMAL
TX-5DF81E61,Praveen Dubey,3848-1243-9642,Ashok Sinha,1566-7999-5238,4200.0,UTR2026326447670518,2026-01-26T18:02:00,UPI,NORMAL
TX-17A05B93,Alok Mahto,7457-8196-3183,Ajay Sinha,9346-3093-3738,25000.0,UTR2026361526830632,2026-03-05T17:08:00,IMPS,NORMAL
TX-EBA792A2,Manoj Prasad,4536-5749-5906,Pushpa Sharma,2781-6807-3594,49370.0,UTR2026967264152688,2026-03-05T05:41:00,NEFT,STRUCTURING
TX-008FC9FF,Pooja Pandey,2967-9887-9534,Ashok Mahto,8428-1176-7767,350000.0,UTR2026176997736581,2026-02-01T19:59:00,IMPS,NORMAL
TX-32E0875A,Chhotu Shankar,6929-2952-1856,Amit Dubey,9735-5658-6392,12000.0,UTR2026586142476871,2026-02-10T05:12:00,IMPS,NORMAL
TX-BDE6118F,Vijay Patel,3535-1442-5818,Pooja Pandey,2967-9887-9534,46321.0,UTR2026860423795995,2026-01-11T18:40:00,IMPS,STRUCTURING
TX-FDD36776,Rahul Mishra,9163-9461-3350,Manoj Prasad,4536-5749-5906,350000.0,UTR2026469330666165,2026-01-03T02:20:00,NEFT,NORMAL
TX-2962F7BE,Ramesh Sinha,4185-1410-3370,Ramesh Patel,7109-8020-1696,350000.0,UTR2026966498091058,2026-01-03T23:43:00,UPI,NORMAL
TX-9306BCB4,Neeraj Mahto,3098-4494-9907,Ramesh Verma,8651-2445-4668,25000.0,UTR2026488374380214,2026-02-23T17:08:00,NEFT,NORMAL
TX-297BA456,Ramesh Verma,8651-2445-4668,Rajesh Ansari,6527-5681-5308,150000.0,UTR2026396876808908,2026-03-26T00:06:00,IMPS,NORMAL
TX-8BFEE2DD,Vijay Oram,5106-2913-9359,Dinesh Gupta,6125-2973-8578,350000.0,UTR2026658219993685,2026-02-14T04:41:00,NEFT,NORMAL
TX-56910E02,Usha Chauhan,7015-1579-7658,Deepak Gupta,1450-3081-7127,350000.0,UTR2026252810759783,2026-01-25T19:54:00,RTGS,NORMAL
TX-1691E917,Mukesh Verma,7478-6218-6252,Pooja Pandey,2967-9887-9534,46389.0,UTR2026304481992542,2026-03-14T20:47:00,RTGS,STRUCTURING
TX-3E2EB574,Seema Patel,5999-1734-4998,Pushpa Sharma,2781-6807-3594,47276.0,UTR2026448877353049,2026-02-01T17:50:00,IMPS,STRUCTURING
TX-D8C9A257,Deepak Gupta,1450-3081-7127,Ramesh Sinha,4185-1410-3370,350000.0,UTR2026889824900308,2026-03-13T05:15:00,RTGS,NORMAL
TX-63FB9A3B,Usha Kumar,8079-7490-9357,Mahesh Oram,7896-2056-1252,85000.0,UTR2026872441043608,2026-02-20T17:39:00,RTGS,NORMAL
TX-88A55AD6,Pankaj Shankar,2078-4720-7143,Santosh Tiwari,4822-4785-3346,12000.0,UTR2026821024864744,2026-02-16T18:07:00,UPI,NORMAL
TX-0F707F7C,Satish Verma,6660-7578-1997,Chhotu Shankar,6929-2952-1856,25000.0,UTR2026459204308769,2026-03-30T18:35:00,RTGS,NORMAL
TX-28D411D2,Pooja Pandey,2967-9887-9534,Mukesh Verma,7478-6218-6252,25000.0,UTR2026567608579845,2026-03-01T18:06:00,UPI,NORMAL
TX-14548F79,Munna Sinha,2564-7599-2789,Bittu Oram,1288-9662-3183,350000.0,UTR2026533263709164,2026-01-16T06:58:00,RTGS,NORMAL
TX-CE1EFE43,Farooq Gupta,3731-7368-9909,Anand Kumar,9728-8233-7714,150000.0,UTR2026463456235283,2026-02-03T02:04:00,IMPS,NORMAL
TX-FD3F04F2,Santosh Tiwari,4822-4785-3346,Anand Mishra,5701-7730-1535,12000.0,UTR2026921282168646,2026-01-05T01:34:00,RTGS,NORMAL
TX-FE25DD5A,Rajesh Yadav,3807-5688-7348,Mohammad Kumar,3194-2131-1813,85000.0,UTR2026215564952067,2026-01-10T05:40:00,UPI,NORMAL
TX-EC24A279,Alok Kujur,9124-9207-4103,Bittu Shankar,4664-8652-1413,12000.0,UTR2026978698501832,2026-03-04T00:16:00,NEFT,NORMAL
TX-34920F15,Pooja Pandey,2967-9887-9534,Amit Prasad,7574-5609-5171,350000.0,UTR2026171256662667,2026-02-07T03:45:00,UPI,NORMAL
TX-473376E2,Anand Kumar,9728-8233-7714,Mukesh Ansari,3495-5193-3299,150000.0,UTR2026961506783426,2026-01-05T17:36:00,IMPS,NORMAL
TX-39705500,Vikas Munda,1067-8821-6554,Sunita Verma,6321-5156-4567,4200.0,UTR2026402912382959,2026-03-24T20:25:00,NEFT,NORMAL
TX-B4FCE47D,Vikram Sinha,7663-7480-3481,Chandan Gope,3142-4027-3866,350000.0,UTR2026499858747272,2026-02-28T22:18:00,NEFT,NORMAL
TX-9CC6F7EE,Seema Patel,5999-1734-4998,Ajay Tiwari,2670-6813-8996,25000.0,UTR2026521899173133,2026-01-03T21:14:00,RTGS,NORMAL
TX-54187328,Rajesh Tiwari,2433-7952-3372,Sunita Verma,6321-5156-4567,45503.0,UTR2026705674600434,2026-01-08T17:06:00,IMPS,STRUCTURING
TX-684107E4,Dharmendra Sharma,7255-6798-2307,Rajesh Yadav,3807-5688-7348,1500.0,UTR2026227325654435,2026-03-31T04:00:00,RTGS,NORMAL
TX-F690335F,Devendra Ahmed,7482-1755-5736,Priya Mahto,7622-4557-5861,1500.0,UTR2026235201871998,2026-01-02T17:28:00,IMPS,NORMAL
TX-8FE30C1E,Manoj Ansari,2930-2378-5463,Chandan Mishra,5424-4709-4857,12000.0,UTR2026719692706907,2026-03-17T04:36:00,UPI,NORMAL
TX-56EBEBB6,Mahesh Yadav,4605-4740-4331,Ajay Sinha,9346-3093-3738,150000.0,UTR2026309533107773,2026-02-02T02:05:00,UPI,NORMAL
TX-210E4D7E,Chandan Gope,3142-4027-3866,Rajesh Ansari,6527-5681-5308,45041.0,UTR2026568817539397,2026-03-31T02:46:00,RTGS,STRUCTURING
TX-4B3CEBCB,Ashok Mahto,8428-1176-7767,Pooja Pandey,2967-9887-9534,1500.0,UTR2026792906802207,2026-03-08T22:38:00,NEFT,NORMAL
TX-2AC8B190,Santosh Munda,3511-5530-5365,Pooja Pandey,2967-9887-9534,48218.0,UTR2026395621145860,2026-01-16T19:11:00,IMPS,STRUCTURING
TX-CF34A0DF,Satish Shankar,9155-2448-2841,Ajay Dubey,3593-2387-5694,150000.0,UTR2026788738866134,2026-03-05T01:37:00,UPI,NORMAL
TX-C7B9C294,Ajay Singh,3725-8626-2468,Mahesh Oram,7896-2056-1252,12000.0,UTR2026895045482826,2026-02-02T06:08:00,UPI,NORMAL
TX-82BD9687,Priya Mahto,7622-4557-5861,Ashok Thakur,2945-3816-5474,46050.0,UTR2026973268732501,2026-02-11T05:31:00,RTGS,STRUCTURING
TX-459C651C,Dinesh Gupta,6125-2973-8578,Vijay Mishra,1639-3691-2085,350000.0,UTR2026335933101360,2026-03-12T19:02:00,RTGS,NORMAL
TX-C1CA1114,Ajay Sinha,9346-3093-3738,Ashok Mahto,8428-1176-7767,12000.0,UTR2026593775097647,2026-01-21T01:57:00,RTGS,NORMAL
TX-6B5B3276,Dinesh Gupta,6125-2973-8578,Alok Kujur,9124-9207-4103,4200.0,UTR2026120602753593,2026-03-17T20:17:00,RTGS,NORMAL
TX-0B0FD4DA,Subhash Mahto,8938-2163-8774,Seema Patel,5999-1734-4998,85000.0,UTR2026398088279538,2026-01-14T21:36:00,UPI,NORMAL
TX-11E5D960,Pooja Pandey,2967-9887-9534,Pankaj Shankar,2078-4720-7143,150000.0,UTR2026280819029090,2026-01-05T23:21:00,NEFT,NORMAL
TX-09B99F49,Ramesh Patel,7109-8020-1696,Bittu Shankar,4664-8652-1413,12000.0,UTR2026357960627173,2026-02-26T02:47:00,IMPS,NORMAL
TX-53150B32,Neeraj Kumar,2154-3566-9031,Farooq Gupta,3731-7368-9909,12000.0,UTR2026553854701242,2026-02-26T05:09:00,RTGS,NORMAL
TX-0F37648A,Ajay Singh,3725-8626-2468,Chandan Mishra,5424-4709-4857,1500.0,UTR2026936003223622,2026-02-17T17:27:00,UPI,NORMAL
TX-8374034A,Deepak Ahmed,4402-2851-8076,Ajay Singh,3725-8626-2468,12000.0,UTR2026547297591014,2026-01-01T21:45:00,RTGS,NORMAL
TX-0DF82E73,Neeraj Mahto,3098-4494-9907,Subhash Shankar,1579-4440-4546,4200.0,UTR2026828316114552,2026-03-26T02:27:00,IMPS,NORMAL
TX-2E0C4A10,Satish Shankar,9155-2448-2841,Pankaj Shankar,2078-4720-7143,12000.0,UTR2026673053321152,2026-03-12T18:12:00,RTGS,NORMAL
TX-14CF0E64,Ravi Verma,1012-2826-4392,Devendra Ahmed,7482-1755-5736,4200.0,UTR2026498732656752,2026-03-05T21:50:00,IMPS,NORMAL
TX-7542CAE0,Dinesh Gupta,6125-2973-8578,Subhash Paswan,9554-7185-4354,12000.0,UTR2026872535915608,2026-03-17T22:55:00,UPI,NORMAL
TX-BCF6CD8F,Pushpa Sharma,2781-6807-3594,Devendra Ahmed,7482-1755-5736,4200.0,UTR2026184522177489,2026-03-19T22:54:00,NEFT,NORMAL
TX-68577B52,Mukesh Verma,7478-6218-6252,Ramesh Shankar,9043-5818-3803,150000.0,UTR2026285812046185,2026-03-04T17:57:00,RTGS,NORMAL
TX-02110DFE,Ramesh Paswan,8285-6224-2574,Subhash Mahto,8938-2163-8774,12000.0,UTR2026810118346191,2026-03-05T00:23:00,NEFT,NORMAL
TX-A609D739,Usha Chauhan,7015-1579-7658,Amit Dubey,9735-5658-6392,4200.0,UTR2026666845952049,2026-03-19T21:37:00,NEFT,NORMAL
TX-19A10344,Bittu Oram,1288-9662-3183,Usha Chauhan,7015-1579-7658,46758.0,UTR2026208836972690,2026-01-14T16:39:00,UPI,STRUCTURING
TX-DEC256CB,Subhash Shankar,1579-4440-4546,Ajay Tiwari,2670-6813-8996,45092.0,UTR2026485932549997,2026-01-18T23:31:00,NEFT,STRUCTURING
TX-525C8BD0,Satish Verma,6660-7578-1997,Deepak Ahmed,4402-2851-8076,45736.0,UTR2026562671822616,2026-02-05T06:16:00,UPI,STRUCTURING
TX-DD8AFFE0,Mukesh Ansari,3495-5193-3299,Mahesh Yadav,4605-4740-4331,4200.0,UTR2026905798648239,2026-03-30T05:49:00,RTGS,NORMAL
TX-5DA27C56,Rajesh Ansari,6527-5681-5308,Rajesh Tiwari,2433-7952-3372,12000.0,UTR2026495273501767,2026-03-24T22:09:00,RTGS,NORMAL
TX-A538928C,Mahesh Yadav,4605-4740-4331,Ramesh Patel,7109-8020-1696,350000.0,UTR2026257360087985,2026-03-06T22:17:00,NEFT,NORMAL
TX-8A0F37E2,Rajesh Yadav,3807-5688-7348,Usha Tiwari,4247-8606-9380,25000.0,UTR2026676948389510,2026-03-29T04:11:00,IMPS,NORMAL
TX-CD9D6979,Rajesh Tiwari,2433-7952-3372,Seema Patel,5999-1734-4998,150000.0,UTR2026602209725093,2026-02-11T04:00:00,UPI,NORMAL
TX-23E649A8,Subhash Paswan,9554-7185-4354,Bittu Shankar,9480-9188-7678,12000.0,UTR2026977840555586,2026-03-15T04:15:00,IMPS,NORMAL
TX-F8A87519,Mukesh Ansari,3495-5193-3299,Manju Gupta,8193-5475-7963,25000.0,UTR2026564074185651,2026-03-12T05:03:00,RTGS,NORMAL
TX-8FD7F4F3,Subhash Mahto,8938-2163-8774,Ashok Thakur,2945-3816-5474,12000.0,UTR2026493038036090,2026-03-14T22:19:00,NEFT,NORMAL
